id,type,title,language,iswc,disambiguation,datestamp
488aaf81-153c-4f85-9d10-e60dcd0785a6,,Since You Been Gone,eng,,,2021-09-01 07:54:18.340746
4fe4cfb8-8aae-3f55-a900-f669bc796ab7,Song,Sixteen Tons,eng,T-070.243.651-8,,2021-09-01 07:54:18.340746
4f65378b-ca04-4adf-a4ca-048a16e412e9,Song,Beautiful War,eng,T-913.335.804-0,,2021-09-01 07:54:18.340746
b58826eb-8910-3d77-93b4-b540bf25eea3,Song,I Want to Know What Love Is,eng,T-010.484.281-0,,2021-09-01 07:54:18.340746
277556b9-d8cd-4543-82f8-c1372dea3655,Song,Swing Down Sweet Chariot,eng,T-700.069.110-3,trad. arr. Elvis,2021-09-01 07:54:18.340746
57fa769a-2036-3a18-905c-b423eb805894,Song,I’m Ready,eng,T-070.903.981-5,,2021-09-01 07:54:18.340746
70040e0a-8f59-4355-b03c-bb46eabd7148,Song,Blind Before I Stop,eng,,,2021-09-01 07:54:18.340746
d219916c-0fa1-38ec-88e2-10a56ef19986,Song,In Your Eyes,eng,T-060.551.936-5,,2021-09-01 07:54:18.340746
3f1ba69a-09f0-4b6e-aaef-20b293cd7ace,Song,Wings,eng,T-926.036.715-5,,2021-09-01 07:54:18.340746
be3403d3-baa8-42ba-aee0-3f2a14e42ee9,,Riding Shotgun,,,,2021-09-01 07:54:18.340746
ad27e86c-3bfd-3c62-a10c-b7bee68c9436,,2000 Watts,,,,2021-09-01 07:54:18.340746
39655848-b213-326c-b818-12680dd008b2,Song,The King Is Half Undressed,eng,,,2021-09-01 07:54:18.340746
09c8924c-67e8-3f35-89d2-6208b80ec179,Song,Thin Air,eng,T-071.191.179-3,,2021-09-01 07:54:18.340746
a4387238-9fe9-3ebd-b631-19329b67efbf,Song,In the Warm Room,eng,T-010.003.133-1,,2021-09-01 07:54:18.340746
a68592d9-c984-47fc-bbd4-c0cebd34ff00,Song,Peace in Our Time,eng,,,2021-09-01 07:54:18.340746
449fb049-2cbd-34b4-a399-bb6994c0ab77,Song,Água de beber,eng,T-041.542.908-1,English translation,2021-09-01 07:54:18.340746
b1566c8b-9d68-3dc5-964a-b334613a03f4,Song,Uno,eng,,,2021-09-01 07:54:18.340746
386fa7bb-4c67-4df9-8bd1-deab6097736e,Song,Amoureuse,fra,T-071.274.605-8,,2021-09-01 07:54:18.340746
ae8585c4-bc60-40fa-8ee6-529cc49a02e5,Song,Voor je 't weet,nld,,,2021-09-01 07:54:18.340746
ada1f1c5-b005-413f-9fe5-b1d12f5149a2,Song,Over,eng,,Cookin’ Soul remix - Thank Us Later version,2021-09-01 07:54:18.340746
88fbf211-b000-468e-b37c-7615172be8aa,,Unbelievable,eng,,,2021-09-01 07:54:18.340746
2f7b4cf2-4653-4cb9-946c-d46ae30166af,,Man of Mystery,,,,2021-09-01 07:54:18.340746
7d26202b-aa12-39f4-8154-0ce07664f129,,Absolution,,,,2021-09-01 07:54:18.340746
3ae9c039-fb9e-401a-b38a-6a45534fa3ba,Song,bad idea,eng,,,2021-09-01 07:54:18.340746
12b1269f-75dc-3f43-80a5-a5b5ca812067,,You'll Never Find (A Love Like Mine),,,,2021-09-01 07:54:18.340746
2f98c23f-4e5d-4a26-906e-08bc882763b4,Song,Corazón,spa,,,2021-09-01 07:54:18.340746
7e8e37bd-fbe4-42c6-bad2-4a5bffdff01f,,The Shining Ones,zxx,T-011.486.119-6,,2021-09-01 07:54:18.340746
1dc32db1-e019-387b-bf6e-9688ebba60ea,Song,Bike,eng,T-010.168.625-2,,2021-09-01 07:54:18.340746
ab0f9d5d-8feb-3eaa-a1f2-beff5f4769ff,Song,As You Lean Into the Light,eng,,,2021-09-01 07:54:18.340746
4bc8d19e-f521-44ef-bffe-e2d00ab6a129,Song,Stony Road,eng,,,2021-09-01 07:54:18.340746
cd36d0ef-27ec-469a-a0b1-644672525021,Song,The Ship in Distress,eng,,,2021-09-01 07:54:18.340746
96a77d7b-8e28-43b6-b462-e06bc2ff9ff6,Song,Brave,eng,T-906.291.391-1,,2021-09-01 07:54:18.340746
